room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
3254560,11884489,Entire home/apt,CENTRE,DOWNTOWN COMMERCIAL CORE,89,5.0,2,1.0,70.0,2.0,51.048497,-114.075668,2016-09-21 23:51:05.601864
15157951,96037874,Entire home/apt,NORTHWEST,VARSITY,0,,2,2.0,39.0,1.0,51.089482,-114.153175,2016-09-21 23:51:02.576529
13188562,73686595,Private room,CENTRE,DOWNTOWN COMMERCIAL CORE,1,,2,1.0,62.0,1.0,51.046619,-114.058612,2016-09-21 23:51:00.148956
2172987,11055148,Private room,NORTHEAST,SADDLE RIDGE,0,,2,1.0,39.0,3.0,51.127455,-113.937091,2016-09-21 23:50:55.807200
4165484,21301776,Private room,CENTRE,BANFF TRAIL,9,4.5,1,1.0,35.0,2.0,51.078505,-114.118545,2016-09-21 23:50:50.150935
12656950,14274421,Entire home/apt,CENTRE,BELTLINE,27,5.0,3,2.0,77.0,1.0,51.037217,-114.054483,2016-09-21 23:50:41.918889
5512194,28591647,Private room,CENTRE,ST. ANDREWS HEIGHTS,7,4.5,3,1.0,156.0,1.0,51.063192,-114.126572,2016-09-21 23:50:39.369882
14747705,69389206,Entire home/apt,CENTRE,WEST HILLHURST,0,,4,2.0,54.0,1.0,51.057384,-114.110524,2016-09-21 23:50:22.788208
3601913,11485957,Shared room,SOUTHEAST,CRANSTON,0,,2,1.0,31.0,1.0,50.876776,-113.975878,2016-09-21 23:50:12.196307
14427089,87862742,Private room,NORTHWEST,ROCKY RIDGE,0,,2,1.0,27.0,2.0,51.15099,-114.255076,2016-09-21 23:50:09.137360
9149877,47637637,Entire home/apt,SOUTHEAST,AUBURN BAY,5,4.5,5,2.0,66.0,2.0,50.892349,-113.950209,2016-09-21 23:50:01.524966
10468838,53947520,Private room,NORTHWEST,DALHOUSIE,60,5.0,3,1.0,44.0,1.0,51.104952,-114.146169,2016-09-21 23:49:54.140978
