room_id,survey_id,host_id,room_type,country,city,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,last_modified,latitude,longitude,location
13009035,1326,35131978,Entire home/apt,,Calgary,CENTRE,BELTLINE,2,0.0,4,1.0,,171.0,,2017-06-10 04:09:51.465918,51.04164,-114.066789,0101000020E6100000E2AE5E4546845CC04C1AA37554854940
18751632,1326,44020326,Entire home/apt,,Calgary,CENTRE,MISSION,0,0.0,6,2.0,,152.0,,2017-06-10 04:09:51.460365,51.035552,-114.065754,0101000020E610000032E5435035845CC059A7CAF78C844940
13787330,1326,79542592,Entire home/apt,,Calgary,CENTRE,INGLEWOOD,0,0.0,4,2.0,,152.0,,2017-06-10 04:09:50.054873,51.039975,-114.032471,0101000020E610000061C43E0114825CC02CD49AE61D854940
768176,1326,4041089,Entire home/apt,,Calgary,CENTRE,HILLHURST,0,0.0,14,6.0,,167.0,,2017-06-10 04:09:50.035700,51.048578,-114.102321,0101000020E61000006B2C616D8C865CC00DA7CCCD37864940
2467606,1326,8300376,Entire home/apt,,Calgary,CENTRE,SUNNYSIDE,10,5.0,4,2.0,,148.0,,2017-06-10 04:09:50.023232,51.057095,-114.079485,0101000020E610000072E1404816855CC0EFE192E34E874940
8538671,1326,44953488,Entire home/apt,,Calgary,CENTRE,BELTLINE,3,5.0,4,2.0,,148.0,,2017-06-10 04:09:48.602108,51.038782,-114.061635,0101000020E61000007E52EDD3F1835CC034D6FECEF6844940
6187517,1326,20673598,Entire home/apt,,Calgary,NORTH,THORNCLIFFE,14,4.5,15,7.0,,148.0,,2017-06-10 04:09:48.597966,51.107412,-114.063278,0101000020E61000009A232BBF0C845CC0569929ADBF8D4940
15648666,1326,100978203,Entire home/apt,,Calgary,SOUTH,BRIDLEWOOD,8,5.0,11,5.0,,160.0,,2017-06-10 04:09:48.588826,50.904365,-114.115886,0101000020E61000001D041DAD6A875CC0D252793BC2734940
18153662,1326,26750852,Entire home/apt,,Calgary,CENTRE,HILLHURST,0,0.0,6,3.0,,152.0,,2017-06-10 04:09:47.767073,51.053227,-114.097432,0101000020E61000005E656D533C865CC0D1217024D0864940
4910922,1326,25190100,Entire home/apt,,Calgary,CENTRE,MOUNT PLEASANT,27,4.5,11,6.0,,175.0,,2017-06-10 04:09:47.761219,51.067089,-114.070755,0101000020E6100000D3C1FA3F87845CC0EF75525F96884940
6974705,1326,2502067,Entire home/apt,,Calgary,CENTRE,LOWER MOUNT ROYAL,5,5.0,4,2.0,,172.0,,2017-06-10 04:09:47.734058,51.036872,-114.084408,0101000020E610000054E1CFF066855CC0AE11C138B8844940
16841580,1326,13638209,Entire home/apt,,Calgary,CENTRE,ERLTON,0,0.0,3,1.0,,168.0,,2017-06-10 04:09:47.723143,51.03187,-114.062924,0101000020E61000008B8862F206845CC09CDCEF5014844940
916727,1326,4901293,Entire home/apt,,Calgary,SOUTHEAST,DOUGLASDALE/GLEN,17,5.0,6,4.0,,137.0,,2017-06-10 04:09:44.949722,50.933612,-113.987783,0101000020E6100000DD2230D6377F5CC09A93179980774940
15146168,1326,33613152,Entire home/apt,,Calgary,CENTRE,BELTLINE,2,0.0,3,1.0,,134.0,,2017-06-10 04:09:43.496319,51.042545,-114.082824,0101000020E6100000BBD408FD4C855CC0DDCD531D72854940
16081335,1326,95617232,Entire home/apt,,Calgary,SOUTH,WOODBINE,9,4.5,14,7.0,,137.0,,2017-06-10 04:09:43.490263,50.939129,-114.123697,0101000020E61000004167D2A6EA875CC0D3DC0A6135784940
14895604,1326,20630708,Entire home/apt,,Calgary,CENTRE,INGLEWOOD,1,0.0,11,4.0,,141.0,,2017-06-10 04:09:43.479628,51.034529,-114.016649,0101000020E6100000B6A0F7C610815CC0BDE13E726B844940
17267655,1326,116399008,Entire home/apt,,Calgary,CENTRE,DOWNTOWN COMMERCIAL CORE,7,4.5,6,2.0,,129.0,,2017-06-10 04:09:43.464561,51.049764,-114.073282,0101000020E6100000AC58FCA6B0845CC05342B0AA5E864940
10157601,1326,51353816,Entire home/apt,,Calgary,SOUTH,SUNDANCE,0,0.0,5,3.0,,114.0,,2017-06-10 04:09:41.687170,50.895034,-114.043994,0101000020E610000018CE35CCD0825CC06F675F7990724940
17130334,1326,114490467,Entire home/apt,,Calgary,CENTRE,DOWNTOWN COMMERCIAL CORE,0,0.0,3,1.0,,121.0,,2017-06-10 04:09:41.668899,51.047582,-114.082835,0101000020E6100000B5FD2B2B4D855CC06BF0BE2A17864940
7417480,1326,38513585,Entire home/apt,,Calgary,CENTRE,CLIFF BUNGALOW,0,0.0,2,1.0,,122.0,,2017-06-10 04:09:41.654129,51.037509,-114.074364,0101000020E6100000FCFF3861C2845CC020274C18CD844940
7125177,1326,11524390,Entire home/apt,,Calgary,CENTRE,MISSION,2,0.0,2,1.0,,114.0,,2017-06-10 04:09:41.649715,51.031989,-114.066011,0101000020E6100000488B338639845CC0776A2E3718844940
17927063,1326,122926181,Entire home/apt,,Calgary,CENTRE,HILLHURST,0,0.0,4,3.0,,122.0,,2017-06-10 04:09:39.780820,51.055036,-114.095427,0101000020E6100000F209D9791B865CC0240D6E6B0B874940
13173319,1326,73629054,Entire home/apt,,Calgary,CENTRE,HOUNSFIELD HEIGHTS/BRIAR HILL,4,5.0,6,2.0,,109.0,,2017-06-10 04:09:37.017559,51.059728,-114.097682,0101000020E61000001BDA006C40865CC0E753C72AA5874940
6273198,1326,387509,Entire home/apt,,Calgary,CENTRE,BRIDGELAND/RIVERSIDE,1,0.0,3,2.0,,122.0,,2017-06-10 04:09:36.095619,51.055939,-114.051045,0101000020E6100000F5673F5244835CC015C9570229874940
6984385,1326,36619702,Entire home/apt,,Calgary,CENTRE,HOUNSFIELD HEIGHTS/BRIAR HILL,4,5.0,6,3.0,,106.0,,2017-06-10 04:09:36.085666,51.059811,-114.097732,0101000020E610000073F1B73D41865CC0757808E3A7874940
5941924,1326,25815823,Entire home/apt,,Calgary,SOUTH,WILLOW PARK,5,5.0,10,5.0,,121.0,,2017-06-10 04:09:36.068350,50.959251,-114.068544,0101000020E610000092955F0663845CC0E1D39CBCC87A4940
18549803,1326,126179515,Entire home/apt,,Calgary,CENTRE,MISSION,0,0.0,2,1.0,,114.0,,2017-06-10 04:09:36.064740,51.032587,-114.064765,0101000020E61000003A3B191C25845CC02BA391CF2B844940
17132600,1326,105127381,Entire home/apt,,Calgary,SOUTH,MILLRISE,1,0.0,8,3.0,,113.0,,2017-06-10 04:09:36.059140,50.920863,-114.088132,0101000020E6100000CA6E66F4A3855CC0588CBAD6DE754940
19069484,1326,133128486,Entire home/apt,,Calgary,CENTRE,BELTLINE,0,0.0,4,2.0,,105.0,,2017-06-10 04:09:36.056954,51.039825,-114.059597,0101000020E6100000247CEF6FD0835CC0174850FC18854940
18777637,1326,118006078,Entire home/apt,,Calgary,NORTH,HIDDEN VALLEY,5,5.0,12,4.0,,105.0,,2017-06-10 04:09:36.054452,51.146969,-114.117976,0101000020E6100000A06D35EB8C875CC04E4354E1CF924940
10941368,1326,55818980,Entire home/apt,,Calgary,CENTRE,DOWNTOWN EAST VILLAGE,4,5.0,4,2.0,,104.0,,2017-06-10 04:09:36.052197,51.047889,-114.05134,0101000020E6100000813E912749835CC0486B0C3A21864940
